time	V(vout)	V(vout2)
1.270157539723350e-04	1.000000e+00	8.214525e-01
1.275040352223350e-04	1.000000e+00	8.410919e-01
1.284805977223351e-04	1.000000e+00	8.798292e-01
1.289688789723351e-04	1.000000e+00	8.988996e-01
1.294571602223351e-04	1.000000e+00	9.177531e-01
1.299454414723351e-04	1.000000e+00	9.363770e-01
1.304337227223351e-04	1.000000e+00	9.547586e-01
1.309220039723351e-04	1.000000e+00	9.728859e-01
1.318985664723351e-04	1.000000e+00	1.008331e+00
1.328751289723351e-04	1.000000e+00	1.042623e+00
1.338516914723351e-04	1.000000e+00	1.075681e+00
1.353165352223351e-04	1.000000e+00	1.122791e+00
1.367813789723351e-04	1.000000e+00	1.166732e+00
1.377579414723351e-04	1.000000e+00	1.194171e+00
1.387345039723351e-04	1.000000e+00	1.220069e+00
1.392227852223351e-04	1.000000e+00	1.232428e+00
1.397110664723351e-04	1.000000e+00	1.244386e+00
1.401993477223351e-04	1.000000e+00	1.255941e+00
1.406876289723351e-04	1.000000e+00	1.267089e+00
1.411759102223351e-04	1.000000e+00	1.277825e+00
1.416641914723351e-04	1.000000e+00	1.288149e+00
1.426407539723351e-04	1.000000e+00	1.307546e+00
1.436173164723351e-04	1.000000e+00	1.325266e+00
1.445938789723351e-04	1.000000e+00	1.341301e+00
1.460587227223351e-04	1.000000e+00	1.362192e+00
1.475235664723351e-04	1.000000e+00	1.379307e+00
1.489884102223351e-04	1.000000e+00	1.392691e+00
1.504532539723351e-04	1.000000e+00	1.402419e+00
1.514298164723351e-04	1.000000e+00	1.406919e+00
1.524063789723351e-04	1.000000e+00	1.409872e+00
1.528946602223351e-04	1.000000e+00	1.410780e+00
1.533829414723351e-04	1.000000e+00	1.411316e+00
1.538712227223351e-04	1.000000e+00	1.411485e+00
1.543595039723351e-04	1.000000e+00	1.411294e+00
1.548477852223351e-04	1.000000e+00	1.410747e+00
1.553360664723351e-04	1.000000e+00	1.409852e+00
1.563126289723351e-04	1.000000e+00	1.407041e+00
1.572891914723351e-04	1.000000e+00	1.402913e+00
1.582657539723351e-04	1.000000e+00	1.397526e+00
1.597305977223351e-04	1.000000e+00	1.387209e+00
1.611954414723351e-04	1.000000e+00	1.374397e+00
1.626602852223351e-04	1.000000e+00	1.359305e+00
1.641251289723351e-04	1.000000e+00	1.342157e+00
1.655899727223351e-04	1.000000e+00	1.323182e+00
1.666362896866208e-04	1.000000e+00	1.308428e+00
1.676826066509065e-04	1.000000e+00	1.293156e+00
1.687289236151922e-04	1.000000e+00	1.277368e+00
1.697752405794779e-04	1.000000e+00	1.261063e+00
1.708215575437637e-04	1.000000e+00	1.244241e+00
1.718678745080494e-04	1.000000e+00	1.226903e+00
1.729141914723351e-04	1.000000e+00	1.209047e+00
1.738907539723351e-04	1.000000e+00	1.192368e+00
1.748673164723351e-04	1.000000e+00	1.175555e+00
1.753555977223351e-04	1.000000e+00	1.167117e+00
1.758438789723351e-04	1.000000e+00	1.158668e+00
1.763321602223351e-04	1.000000e+00	1.150217e+00
1.768204414723351e-04	1.000000e+00	1.141769e+00
1.773087227223351e-04	1.000000e+00	1.133334e+00
1.777970039723351e-04	1.000000e+00	1.124917e+00
1.782852852223351e-04	1.000000e+00	1.116526e+00
1.787735664723351e-04	1.000000e+00	1.108168e+00
1.792618477223351e-04	1.000000e+00	1.099849e+00
1.797501289723351e-04	1.000000e+00	1.091576e+00
1.802384102223351e-04	1.000000e+00	1.083356e+00
1.807266914723351e-04	1.000000e+00	1.075194e+00
1.812149727223351e-04	1.000000e+00	1.067098e+00
1.817032539723351e-04	1.000000e+00	1.059073e+00
1.821915352223351e-04	1.000000e+00	1.051124e+00
1.826798164723351e-04	1.000000e+00	1.043258e+00
1.831680977223351e-04	1.000000e+00	1.035481e+00
1.836563789723351e-04	1.000000e+00	1.027797e+00
1.841446602223351e-04	1.000000e+00	1.020211e+00
1.846329414723351e-04	1.000000e+00	1.012729e+00
1.856095039723351e-04	1.000000e+00	9.980953e-01
1.865860664723351e-04	1.000000e+00	9.839324e-01
1.875626289723351e-04	1.000000e+00	9.702743e-01
1.890274727223351e-04	1.000000e+00	9.508008e-01
1.904923164723351e-04	1.000000e+00	9.326256e-01
1.914688789723351e-04	1.000000e+00	9.212695e-01
1.924454414723351e-04	1.000000e+00	9.105456e-01
1.929337227223351e-04	1.000000e+00	9.054261e-01
1.934220039723351e-04	1.000000e+00	9.004707e-01
1.939102852223351e-04	1.000000e+00	8.956813e-01
1.943985664723351e-04	1.000000e+00	8.910592e-01
1.948868477223351e-04	1.000000e+00	8.866059e-01
1.953751289723351e-04	1.000000e+00	8.823224e-01
1.963516914723351e-04	1.000000e+00	8.742691e-01
1.973282539723351e-04	1.000000e+00	8.669056e-01
1.983048164723351e-04	1.000000e+00	8.602352e-01
1.997696602223351e-04	1.000000e+00	8.515311e-01
2.012345039723351e-04	1.000000e+00	8.443819e-01
2.026993477223351e-04	1.000000e+00	8.387694e-01
2.041641914723351e-04	1.000000e+00	8.346642e-01
2.051407539723351e-04	1.000000e+00	8.327457e-01
2.061173164723351e-04	1.000000e+00	8.314658e-01
2.066055977223351e-04	1.000000e+00	8.310603e-01
2.070938789723351e-04	1.000000e+00	8.308085e-01
2.075821602223351e-04	1.000000e+00	8.307080e-01
2.080704414723351e-04	1.000000e+00	8.307564e-01
2.085587227223351e-04	1.000000e+00	8.309515e-01
2.095352852223351e-04	1.000000e+00	8.317711e-01
2.105118477223351e-04	1.000000e+00	8.331457e-01
2.114884102223351e-04	1.000000e+00	8.350531e-01
2.129532539723351e-04	1.000000e+00	8.388613e-01
2.144180977223351e-04	1.000000e+00	8.437316e-01
2.158829414723351e-04	1.000000e+00	8.495764e-01
2.173477852223351e-04	1.000000e+00	8.563044e-01
2.188126289723351e-04	1.000000e+00	8.638225e-01
2.202774727223351e-04	1.000000e+00	8.720351e-01
2.212540352223351e-04	1.000000e+00	8.779189e-01
2.222305977223351e-04	1.000000e+00	8.839699e-01
2.232071602223351e-04	1.000000e+00	8.901880e-01
2.241837227223351e-04	1.000000e+00	8.965733e-01
2.251602852223351e-04	1.000000e+00	9.031257e-01
2.261368477223351e-04	1.000000e+00	9.098453e-01
2.271134102223351e-04	1.000000e+00	9.167321e-01
2.280899727223351e-04	1.000000e+00	9.236209e-01
2.285782539723351e-04	1.000000e+00	9.270839e-01
2.290665352223351e-04	1.000000e+00	9.305550e-01
2.295548164723351e-04	1.000000e+00	9.340312e-01
2.300430977223351e-04	1.000000e+00	9.375092e-01
2.305313789723351e-04	1.000000e+00	9.409860e-01
2.310196602223351e-04	1.000000e+00	9.444587e-01
2.315079414723351e-04	1.000000e+00	9.479243e-01
2.319962227223351e-04	1.000000e+00	9.513797e-01
2.324845039723351e-04	1.000000e+00	9.548222e-01
2.329727852223351e-04	1.000000e+00	9.582492e-01
2.334610664723351e-04	1.000000e+00	9.616576e-01
2.344376289723351e-04	1.000000e+00	9.684087e-01
2.354141914723351e-04	1.000000e+00	9.750549e-01
2.363907539723351e-04	1.000000e+00	9.815764e-01
2.368790352223351e-04	1.000000e+00	9.847847e-01
2.373673164723351e-04	1.000000e+00	9.879549e-01
2.378555977223351e-04	1.000000e+00	9.910850e-01
2.388321602223351e-04	1.000000e+00	9.972163e-01
2.398087227223351e-04	1.000000e+00	1.003163e+00
2.407852852223351e-04	1.000000e+00	1.008910e+00
